device_id,device_type,os
DEV00835,Desktop,macOS
DEV00836,Laptop,Ubuntu
DEV00837,Laptop,Windows 11
DEV00838,Laptop,Windows 11
DEV00839,Laptop,Ubuntu
DEV00840,Desktop,Ubuntu
DEV00841,Desktop,macOS
DEV00842,Laptop,Ubuntu
DEV00843,Desktop,macOS
DEV00844,Laptop,Ubuntu
DEV00845,Desktop,Ubuntu
DEV00846,Laptop,Ubuntu
DEV00847,Laptop,Ubuntu
DEV00848,Desktop,macOS
DEV00849,Desktop,Ubuntu
DEV00850,Laptop,macOS
DEV00851,Laptop,macOS
DEV00852,Laptop,macOS
DEV00853,Laptop,Ubuntu
DEV00854,Desktop,Ubuntu
DEV00855,Desktop,macOS
DEV00856,Laptop,macOS
DEV00857,Laptop,Ubuntu
DEV00858,Desktop,Windows 11
DEV00859,Desktop,Ubuntu
DEV00860,Desktop,Windows 11
DEV00861,Laptop,Ubuntu
DEV00862,Laptop,Windows 11
DEV00863,Desktop,macOS
DEV00864,Desktop,macOS
DEV00865,Desktop,Windows 11
DEV00866,Desktop,Windows 11
DEV00867,Desktop,Ubuntu
DEV00868,Desktop,Ubuntu
DEV00869,Desktop,Windows 11
DEV00870,Laptop,macOS
DEV00871,Desktop,macOS
DEV00872,Laptop,Ubuntu
DEV00873,Desktop,macOS
DEV00874,Desktop,Ubuntu
DEV00875,Laptop,Windows 11
DEV00876,Laptop,macOS
DEV00877,Desktop,macOS
DEV00878,Laptop,Windows 11
DEV00879,Desktop,Windows 11
DEV00880,Desktop,Ubuntu
DEV00881,Laptop,Windows 11
DEV00882,Laptop,Windows 11
DEV00883,Laptop,macOS
DEV00884,Desktop,Ubuntu
DEV00885,Desktop,Ubuntu
DEV00886,Laptop,Ubuntu
DEV00887,Laptop,macOS
DEV00888,Desktop,Ubuntu
DEV00889,Laptop,Windows 11
DEV00890,Desktop,Ubuntu
DEV00891,Laptop,Ubuntu
DEV00892,Desktop,macOS
DEV00893,Laptop,Windows 11
DEV00894,Laptop,macOS
DEV00895,Laptop,Windows 11
DEV00896,Desktop,Windows 11
DEV00897,Desktop,macOS
DEV00898,Laptop,Windows 11
DEV00899,Desktop,macOS
DEV00900,Desktop,macOS
DEV00901,Desktop,Windows 11
DEV00902,Laptop,Ubuntu
DEV00903,Laptop,macOS
DEV00904,Laptop,Windows 11
DEV00905,Desktop,Ubuntu
DEV00906,Desktop,Windows 11
DEV00907,Laptop,macOS
DEV00908,Laptop,Windows 11
DEV00909,Desktop,Ubuntu
DEV00910,Desktop,Ubuntu
DEV00911,Laptop,Ubuntu
DEV00912,Laptop,macOS
DEV00913,Laptop,Ubuntu
DEV00914,Laptop,Ubuntu
DEV00915,Laptop,Ubuntu
DEV00916,Laptop,Windows 11
DEV00917,Desktop,Ubuntu
DEV00918,Laptop,macOS
DEV00919,Desktop,Windows 11
DEV00920,Desktop,macOS
DEV00921,Desktop,Windows 11
DEV00922,Laptop,Ubuntu
DEV00923,Laptop,Ubuntu
DEV00924,Desktop,macOS
DEV00925,Laptop,macOS
DEV00926,Desktop,macOS
DEV00927,Desktop,macOS
DEV00928,Desktop,Windows 11
DEV00929,Laptop,macOS
DEV00930,Laptop,Windows 11
DEV00931,Desktop,Windows 11
DEV00932,Desktop,Ubuntu
DEV00933,Laptop,Windows 11
DEV00934,Desktop,macOS
DEV00935,Desktop,Ubuntu
DEV00936,Desktop,macOS
DEV00937,Desktop,Windows 11
DEV00938,Laptop,macOS
DEV00939,Laptop,Ubuntu
DEV00940,Laptop,macOS
DEV00941,Desktop,Ubuntu
DEV00942,Desktop,Windows 11
DEV00943,Laptop,Ubuntu
DEV00944,Desktop,Windows 11
DEV00945,Desktop,Windows 11
DEV00946,Desktop,Windows 11
DEV00947,Laptop,Ubuntu
DEV00948,Desktop,macOS
DEV00949,Desktop,Ubuntu
DEV00950,Desktop,Ubuntu
DEV00951,Desktop,macOS
DEV00952,Desktop,Ubuntu
DEV00953,Laptop,Ubuntu
DEV00954,Desktop,Windows 11
DEV00955,Desktop,Windows 11
DEV00956,Laptop,Windows 11
DEV00957,Laptop,Windows 11
DEV00958,Laptop,Windows 11
DEV00959,Desktop,Ubuntu
DEV00960,Laptop,macOS
DEV00961,Desktop,Ubuntu
DEV00962,Laptop,Ubuntu
DEV00963,Laptop,Ubuntu
DEV00964,Desktop,macOS
DEV00965,Desktop,Ubuntu
DEV00966,Desktop,Windows 11
DEV00967,Laptop,Windows 11
DEV00968,Desktop,Windows 11
DEV00969,Laptop,Ubuntu
DEV00970,Laptop,Windows 11
DEV00971,Desktop,macOS
DEV00972,Laptop,macOS
DEV00973,Laptop,macOS
DEV00974,Laptop,Ubuntu
DEV00975,Laptop,Windows 11
DEV00976,Desktop,macOS
DEV00977,Laptop,Ubuntu
DEV00978,Laptop,Ubuntu
DEV00979,Laptop,Ubuntu
DEV00980,Desktop,macOS
DEV00981,Laptop,Ubuntu
DEV00982,Laptop,Windows 11
DEV00983,Laptop,Ubuntu
DEV00984,Desktop,Ubuntu
DEV00985,Desktop,macOS
DEV00986,Laptop,Ubuntu
DEV00987,Laptop,macOS
DEV00988,Desktop,Ubuntu
DEV00989,Laptop,Windows 11
DEV00990,Laptop,macOS
DEV00991,Desktop,Ubuntu
DEV00992,Laptop,macOS
DEV00993,Laptop,macOS
DEV00994,Desktop,Windows 11
DEV00995,Desktop,Ubuntu
DEV00996,Laptop,Windows 11
DEV00997,Desktop,Windows 11
DEV00998,Laptop,Windows 11
DEV00999,Laptop,Ubuntu
DEV01000,Desktop,Ubuntu
DEV01001,Laptop,Windows 11
DEV01002,Desktop,Ubuntu
DEV01003,Desktop,macOS
DEV01004,Desktop,macOS
DEV01005,Laptop,Ubuntu
DEV01006,Laptop,Ubuntu
DEV01007,Laptop,Ubuntu
DEV01008,Desktop,Ubuntu
DEV01009,Desktop,Ubuntu
DEV01010,Desktop,Windows 11
DEV01011,Desktop,Ubuntu
DEV01012,Laptop,Ubuntu
DEV01013,Desktop,Windows 11
DEV01014,Laptop,macOS
DEV01015,Desktop,Ubuntu
DEV01016,Laptop,macOS
DEV01017,Laptop,Ubuntu
DEV01018,Laptop,Ubuntu
DEV01019,Desktop,Ubuntu
DEV01020,Laptop,Ubuntu
DEV01021,Desktop,Windows 11
DEV01022,Laptop,macOS
DEV01023,Desktop,Windows 11
DEV01024,Desktop,Ubuntu
DEV01025,Laptop,macOS
DEV01026,Laptop,Windows 11
DEV01027,Laptop,macOS
DEV01028,Desktop,Ubuntu
DEV01029,Laptop,Ubuntu
DEV01030,Desktop,Ubuntu
DEV01031,Desktop,macOS
DEV01032,Laptop,macOS
DEV01033,Laptop,Windows 11
DEV01034,Desktop,Windows 11
DEV01035,Laptop,Ubuntu
DEV01036,Laptop,Windows 11
DEV01037,Desktop,macOS
DEV01038,Desktop,Ubuntu
DEV01039,Desktop,macOS
DEV01040,Desktop,macOS
DEV01041,Desktop,Ubuntu
DEV01042,Laptop,Windows 11
DEV01043,Laptop,Windows 11
DEV01044,Desktop,macOS
DEV01045,Laptop,Ubuntu
DEV01046,Laptop,Windows 11
DEV01047,Desktop,Windows 11
DEV01048,Laptop,Windows 11
DEV01049,Desktop,Ubuntu
DEV01050,Desktop,macOS
DEV01051,Desktop,Ubuntu
DEV01052,Desktop,macOS
DEV01053,Desktop,Ubuntu
DEV01054,Laptop,Windows 11
DEV01055,Laptop,Windows 11
DEV01056,Laptop,Windows 11
DEV01057,Laptop,macOS
DEV01058,Laptop,Windows 11
DEV01059,Laptop,Ubuntu
DEV01060,Laptop,macOS
DEV01061,Laptop,Ubuntu
DEV01062,Laptop,Windows 11
DEV01063,Desktop,Ubuntu
DEV01064,Laptop,Ubuntu
DEV01065,Desktop,Windows 11
DEV01066,Laptop,Windows 11
DEV01067,Laptop,macOS
DEV01068,Desktop,Ubuntu
DEV01069,Desktop,Windows 11
DEV01070,Desktop,macOS
DEV01071,Laptop,Windows 11
DEV01072,Desktop,macOS
DEV01073,Desktop,Windows 11
DEV01074,Desktop,Windows 11
DEV01075,Laptop,macOS
DEV01076,Desktop,Ubuntu
DEV01077,Desktop,macOS
DEV01078,Desktop,Windows 11
DEV01079,Desktop,Ubuntu
DEV01080,Desktop,macOS
DEV01081,Desktop,Windows 11
DEV01082,Laptop,macOS
DEV01083,Laptop,Ubuntu
DEV01084,Desktop,macOS
DEV01085,Laptop,Ubuntu
DEV01086,Desktop,Ubuntu
DEV01087,Laptop,Ubuntu
DEV01088,Desktop,Ubuntu
DEV01089,Desktop,Windows 11
DEV01090,Laptop,Ubuntu
DEV01091,Laptop,Ubuntu
DEV01092,Desktop,Ubuntu
DEV01093,Laptop,macOS
DEV01094,Laptop,macOS
DEV01095,Desktop,macOS
DEV01096,Desktop,Windows 11
DEV01097,Desktop,macOS
DEV01098,Desktop,Ubuntu
DEV01099,Desktop,Ubuntu
DEV01100,Laptop,macOS
DEV01101,Laptop,Ubuntu
DEV01102,Laptop,macOS
DEV01103,Desktop,Windows 11
DEV01104,Laptop,Windows 11
DEV01105,Laptop,macOS
DEV01106,Desktop,Windows 11
DEV01107,Desktop,Ubuntu
DEV01108,Desktop,Windows 11
DEV01109,Laptop,macOS
DEV01110,Laptop,Windows 11
DEV01111,Desktop,Ubuntu
DEV01112,Desktop,macOS
DEV01113,Laptop,Windows 11
DEV01114,Laptop,Windows 11
DEV01115,Desktop,Ubuntu
DEV01116,Laptop,macOS
DEV01117,Laptop,Windows 11
DEV01118,Laptop,Ubuntu
DEV01119,Desktop,Ubuntu
DEV01120,Desktop,Windows 11
DEV01121,Desktop,Windows 11
DEV01122,Laptop,macOS
DEV01123,Laptop,Ubuntu
DEV01124,Desktop,Windows 11
DEV01125,Laptop,macOS
DEV01126,Laptop,macOS
DEV01127,Laptop,macOS
DEV01128,Laptop,Windows 11
DEV01129,Laptop,Windows 11
DEV01130,Desktop,Windows 11
DEV01131,Desktop,macOS
DEV01132,Desktop,macOS
DEV01133,Desktop,macOS
DEV01134,Laptop,Windows 11
DEV01135,Desktop,Ubuntu
DEV01136,Laptop,Windows 11
DEV01137,Laptop,Ubuntu
DEV01138,Desktop,Windows 11
DEV01139,Laptop,Ubuntu
DEV01140,Desktop,Ubuntu
DEV01141,Laptop,Windows 11
DEV01142,Desktop,Ubuntu
DEV01143,Desktop,Ubuntu
DEV01144,Laptop,Windows 11
DEV01145,Desktop,Windows 11
DEV01146,Laptop,Ubuntu
DEV01147,Desktop,Ubuntu
DEV01148,Desktop,macOS
DEV01149,Desktop,Windows 11
DEV01150,Desktop,Windows 11
DEV01151,Laptop,macOS
DEV01152,Laptop,Windows 11
DEV01153,Desktop,Ubuntu
DEV01154,Desktop,Windows 11
DEV01155,Desktop,Windows 11
DEV01156,Desktop,Windows 11
DEV01157,Laptop,macOS
DEV01158,Laptop,macOS
DEV01159,Desktop,Ubuntu
DEV01160,Desktop,macOS
DEV01161,Desktop,macOS
DEV01162,Desktop,Ubuntu
DEV01163,Laptop,Ubuntu
DEV01164,Laptop,macOS
DEV01165,Desktop,Ubuntu
DEV01166,Laptop,macOS
DEV01167,Desktop,macOS
DEV01168,Desktop,macOS
DEV01169,Desktop,Windows 11
DEV01170,Desktop,Windows 11
DEV01171,Laptop,macOS
DEV01172,Desktop,Ubuntu
DEV01173,Laptop,macOS
DEV01174,Desktop,Windows 11
DEV01175,Laptop,macOS
DEV01176,Desktop,macOS
DEV01177,Desktop,macOS
DEV01178,Laptop,Windows 11
DEV01179,Laptop,macOS
DEV01180,Desktop,Windows 11
DEV01181,Desktop,macOS
DEV01182,Desktop,macOS
DEV01183,Laptop,macOS
DEV01184,Laptop,Ubuntu
DEV01185,Desktop,macOS
DEV01186,Desktop,Windows 11
DEV01187,Laptop,macOS
DEV01188,Laptop,Ubuntu
DEV01189,Desktop,macOS
DEV01190,Laptop,Ubuntu
DEV01191,Desktop,Windows 11
DEV01192,Laptop,Ubuntu
DEV01193,Desktop,Ubuntu
DEV01194,Laptop,macOS
DEV01195,Desktop,macOS
DEV01196,Laptop,Windows 11
DEV01197,Desktop,macOS
DEV01198,Laptop,Ubuntu
DEV01199,Desktop,Windows 11
DEV01200,Laptop,macOS
DEV01201,Desktop,Ubuntu
DEV01202,Laptop,Windows 11
DEV01203,Laptop,Ubuntu
DEV01204,Laptop,Ubuntu
DEV01205,Laptop,Ubuntu
DEV01206,Laptop,Ubuntu
DEV01207,Desktop,macOS
DEV01208,Desktop,Ubuntu
DEV01209,Desktop,macOS
DEV01210,Desktop,Ubuntu
DEV01211,Desktop,macOS
DEV01212,Desktop,Windows 11
DEV01213,Laptop,macOS
DEV01214,Laptop,Ubuntu
DEV01215,Desktop,Windows 11
DEV01216,Laptop,macOS
DEV01217,Laptop,Ubuntu
DEV01218,Desktop,Windows 11
DEV01219,Laptop,macOS
DEV01220,Desktop,Windows 11
DEV01221,Desktop,Windows 11
DEV01222,Laptop,Ubuntu
DEV01223,Desktop,Windows 11
DEV01224,Laptop,Windows 11
DEV01225,Desktop,Ubuntu
DEV01226,Desktop,Ubuntu
DEV01227,Desktop,Ubuntu
DEV01228,Laptop,Windows 11
DEV01229,Laptop,macOS
DEV01230,Desktop,Windows 11
DEV01231,Desktop,Ubuntu
DEV01232,Laptop,Windows 11
DEV01233,Desktop,Windows 11
DEV01234,Laptop,macOS
DEV01235,Desktop,Windows 11
DEV01236,Laptop,Ubuntu
DEV01237,Desktop,macOS
DEV01238,Desktop,macOS
DEV01239,Desktop,Ubuntu
DEV01240,Desktop,Ubuntu
DEV01241,Laptop,Windows 11
DEV01242,Desktop,Ubuntu
DEV01243,Desktop,Windows 11
DEV01244,Desktop,Windows 11
DEV01245,Desktop,Ubuntu
DEV01246,Laptop,Ubuntu
DEV01247,Desktop,macOS
DEV01248,Laptop,macOS
DEV01249,Desktop,macOS
DEV01250,Desktop,macOS
DEV01251,Laptop,Windows 11
DEV01252,Laptop,macOS
DEV01253,Desktop,macOS
DEV01254,Laptop,macOS
DEV01255,Laptop,Windows 11
DEV01256,Laptop,macOS
DEV01257,Laptop,Ubuntu
DEV01258,Laptop,Windows 11
DEV01259,Laptop,Windows 11
DEV01260,Desktop,Windows 11
DEV01261,Laptop,macOS
DEV01262,Desktop,Windows 11
DEV01263,Desktop,Ubuntu
DEV01264,Laptop,Ubuntu
DEV01265,Laptop,Ubuntu
DEV01266,Desktop,Windows 11
DEV01267,Desktop,Windows 11
DEV01268,Desktop,Ubuntu
DEV01269,Desktop,Windows 11
DEV01270,Laptop,Windows 11
DEV01271,Laptop,Ubuntu
DEV01272,Laptop,Windows 11
DEV01273,Desktop,Windows 11
DEV01274,Laptop,Ubuntu
DEV01275,Desktop,macOS
DEV01276,Laptop,Windows 11
DEV01277,Desktop,Windows 11
DEV01278,Laptop,macOS
DEV01279,Laptop,Ubuntu
DEV01280,Desktop,Windows 11
DEV01281,Desktop,Windows 11
DEV01282,Desktop,Ubuntu
DEV01283,Desktop,Ubuntu
DEV01284,Laptop,Windows 11
DEV01285,Laptop,Windows 11
DEV01286,Laptop,Ubuntu
DEV01287,Desktop,Windows 11
DEV01288,Desktop,Windows 11
DEV01289,Desktop,Ubuntu
DEV01290,Desktop,Windows 11
DEV01291,Desktop,Windows 11
DEV01292,Desktop,macOS
DEV01293,Laptop,Windows 11
DEV01294,Desktop,macOS
DEV01295,Laptop,Windows 11
DEV01296,Laptop,Ubuntu
DEV01297,Desktop,Ubuntu
DEV01298,Laptop,macOS
DEV01299,Laptop,Windows 11
DEV01300,Desktop,macOS
DEV01301,Laptop,Windows 11
DEV01302,Desktop,macOS
DEV01303,Desktop,Windows 11
DEV01304,Laptop,Ubuntu
DEV01305,Desktop,macOS
DEV01306,Laptop,Windows 11
DEV01307,Laptop,Ubuntu
DEV01308,Desktop,macOS
DEV01309,Desktop,macOS
DEV01310,Desktop,Ubuntu
DEV01311,Laptop,macOS
DEV01312,Desktop,Windows 11
DEV01313,Laptop,macOS
DEV01314,Laptop,Ubuntu
DEV01315,Laptop,Ubuntu
DEV01316,Laptop,Windows 11
DEV01317,Desktop,Ubuntu
DEV01318,Laptop,macOS
DEV01319,Desktop,macOS
DEV01320,Desktop,macOS
DEV01321,Desktop,macOS
DEV01322,Desktop,Ubuntu
DEV01323,Laptop,macOS
DEV01324,Desktop,Ubuntu
DEV01325,Laptop,Ubuntu
DEV01326,Desktop,Windows 11
DEV01327,Laptop,macOS
DEV01328,Laptop,macOS
DEV01329,Desktop,Windows 11
DEV01330,Laptop,macOS
DEV01331,Laptop,Ubuntu
DEV01332,Desktop,Ubuntu
DEV01333,Laptop,macOS
DEV01334,Laptop,macOS
DEV01335,Laptop,macOS
DEV01336,Desktop,macOS
DEV01337,Laptop,Ubuntu
DEV01338,Desktop,macOS
DEV01339,Desktop,Ubuntu
DEV01340,Laptop,macOS
DEV01341,Laptop,Windows 11
DEV01342,Desktop,Ubuntu
DEV01343,Laptop,Ubuntu
DEV01344,Laptop,Windows 11
DEV01345,Laptop,Ubuntu
DEV01346,Desktop,Windows 11
DEV01347,Laptop,macOS
DEV01348,Desktop,macOS
DEV01349,Laptop,Windows 11
DEV01350,Desktop,Ubuntu
DEV01351,Laptop,Ubuntu
DEV01352,Desktop,macOS
DEV01353,Laptop,Windows 11
DEV01354,Laptop,macOS
DEV01355,Desktop,Windows 11
DEV01356,Desktop,macOS
DEV01357,Desktop,Windows 11
DEV01358,Laptop,macOS
DEV01359,Laptop,Windows 11
DEV01360,Laptop,macOS
DEV01361,Laptop,Windows 11
DEV01362,Desktop,macOS
DEV01363,Laptop,macOS
DEV01364,Desktop,Windows 11
DEV01365,Laptop,macOS
DEV01366,Desktop,macOS
DEV01367,Desktop,Windows 11
DEV01368,Desktop,macOS
DEV01369,Laptop,Ubuntu
DEV01370,Desktop,Ubuntu
DEV01371,Desktop,Windows 11
DEV01372,Desktop,Ubuntu
DEV01373,Desktop,macOS
DEV01374,Laptop,macOS
DEV01375,Laptop,Windows 11
DEV01376,Desktop,Ubuntu
DEV01377,Desktop,Ubuntu
DEV01378,Laptop,Ubuntu
DEV01379,Laptop,Ubuntu
DEV01380,Laptop,macOS
DEV01381,Laptop,macOS
DEV01382,Laptop,macOS
DEV01383,Desktop,Windows 11
DEV01384,Laptop,Windows 11
DEV01385,Laptop,Ubuntu
DEV01386,Desktop,Windows 11
DEV01387,Laptop,Windows 11
DEV01388,Desktop,Ubuntu
DEV01389,Laptop,macOS
DEV01390,Desktop,Ubuntu
DEV01391,Laptop,Windows 11
DEV01392,Desktop,Windows 11
DEV01393,Desktop,Windows 11
DEV01394,Desktop,macOS
DEV01395,Laptop,Windows 11
DEV01396,Desktop,Windows 11
DEV01397,Desktop,macOS
DEV01398,Laptop,Windows 11
DEV01399,Laptop,Windows 11
DEV01400,Desktop,Ubuntu
DEV01401,Laptop,Windows 11
DEV01402,Laptop,Ubuntu
DEV01403,Laptop,Ubuntu
DEV01404,Desktop,Windows 11
DEV01405,Laptop,macOS
DEV01406,Laptop,macOS
DEV01407,Laptop,Ubuntu
DEV01408,Desktop,Ubuntu
DEV01409,Laptop,macOS
DEV01410,Desktop,Windows 11
DEV01411,Laptop,Ubuntu
DEV01412,Desktop,Ubuntu
DEV01413,Desktop,macOS
DEV01414,Laptop,Ubuntu
DEV01415,Laptop,Ubuntu
DEV01416,Desktop,macOS
DEV01417,Laptop,Windows 11
DEV01418,Laptop,Windows 11
DEV01419,Laptop,macOS
DEV01420,Laptop,macOS
DEV01421,Laptop,macOS
DEV01422,Desktop,Ubuntu
DEV01423,Desktop,Ubuntu
DEV01424,Desktop,Windows 11
DEV01425,Laptop,Windows 11
DEV01426,Laptop,Windows 11
DEV01427,Laptop,Ubuntu
DEV01428,Desktop,macOS
DEV01429,Desktop,Ubuntu
DEV01430,Laptop,Windows 11
DEV01431,Desktop,Ubuntu
DEV01432,Desktop,Ubuntu
DEV01433,Desktop,Windows 11
DEV01434,Laptop,Windows 11
DEV01435,Laptop,macOS
DEV01436,Laptop,Ubuntu
DEV01437,Desktop,Windows 11
DEV01438,Laptop,macOS
DEV01439,Laptop,Windows 11
DEV01440,Desktop,Windows 11
DEV01441,Desktop,macOS
DEV01442,Desktop,macOS
DEV01443,Desktop,macOS
DEV01444,Desktop,macOS
DEV01445,Desktop,Ubuntu
DEV01446,Desktop,Windows 11
DEV01447,Laptop,Ubuntu
DEV01448,Laptop,Ubuntu
DEV01449,Laptop,Windows 11
DEV01450,Laptop,macOS
DEV01451,Laptop,Ubuntu
DEV01452,Laptop,Windows 11
DEV01453,Desktop,macOS
DEV01454,Desktop,macOS
DEV01455,Desktop,Windows 11
DEV01456,Desktop,Windows 11
DEV01457,Laptop,Ubuntu
DEV01458,Laptop,Windows 11
DEV01459,Desktop,Windows 11
DEV01460,Laptop,Windows 11
DEV01461,Desktop,Ubuntu
DEV01462,Laptop,macOS
DEV01463,Desktop,Windows 11
DEV01464,Laptop,Windows 11
DEV01465,Laptop,Ubuntu
DEV01466,Laptop,Windows 11
DEV01467,Desktop,macOS
DEV01468,Laptop,Ubuntu
DEV01469,Laptop,Windows 11
DEV01470,Laptop,Windows 11
DEV01471,Laptop,Ubuntu
DEV01472,Laptop,Windows 11
DEV01473,Laptop,Ubuntu
DEV01474,Laptop,Ubuntu
DEV01475,Laptop,Ubuntu
DEV01476,Desktop,Windows 11
DEV01477,Desktop,Ubuntu
DEV01478,Laptop,macOS
DEV01479,Desktop,macOS
DEV01480,Laptop,Windows 11
DEV01481,Laptop,Windows 11
DEV01482,Laptop,Windows 11
DEV01483,Desktop,macOS
DEV01484,Desktop,Ubuntu
DEV01485,Desktop,macOS
DEV01486,Laptop,Windows 11
DEV01487,Laptop,macOS
DEV01488,Desktop,Windows 11
DEV01489,Desktop,Windows 11
DEV01490,Laptop,macOS
DEV01491,Desktop,Windows 11
DEV01492,Desktop,Windows 11
DEV01493,Laptop,Ubuntu
DEV01494,Laptop,Windows 11
DEV01495,Desktop,macOS
DEV01496,Desktop,Ubuntu
DEV01497,Desktop,Windows 11
DEV01498,Desktop,macOS
DEV01499,Desktop,macOS
DEV01500,Desktop,macOS
DEV01501,Desktop,Ubuntu
DEV01502,Desktop,macOS
DEV01503,Desktop,macOS
DEV01504,Laptop,Windows 11
DEV01505,Laptop,Windows 11
DEV01506,Desktop,Windows 11
DEV01507,Desktop,Windows 11
DEV01508,Desktop,Ubuntu
DEV01509,Desktop,macOS
DEV01510,Laptop,Ubuntu
DEV01511,Desktop,macOS
DEV01512,Laptop,Windows 11
DEV01513,Laptop,Ubuntu
DEV01514,Desktop,macOS
DEV01515,Desktop,Windows 11
DEV01516,Laptop,Ubuntu
DEV01517,Desktop,Ubuntu
DEV01518,Desktop,Ubuntu
DEV01519,Desktop,Ubuntu
DEV01520,Desktop,Ubuntu
DEV01521,Desktop,Ubuntu
DEV01522,Desktop,Windows 11
DEV01523,Laptop,Ubuntu
DEV01524,Laptop,Ubuntu
DEV01525,Laptop,Ubuntu
DEV01526,Laptop,Ubuntu
DEV01527,Laptop,Ubuntu
DEV01528,Laptop,Windows 11
DEV01529,Laptop,Windows 11
DEV01530,Desktop,Windows 11
DEV01531,Laptop,Ubuntu
DEV01532,Laptop,macOS
DEV01533,Desktop,Ubuntu
DEV01534,Desktop,macOS
DEV01535,Desktop,Windows 11
DEV01536,Laptop,macOS
DEV01537,Desktop,Windows 11
DEV01538,Desktop,Ubuntu
DEV01539,Desktop,Ubuntu
DEV01540,Desktop,macOS
DEV01541,Laptop,Ubuntu
DEV01542,Laptop,Ubuntu
DEV01543,Laptop,Windows 11
DEV01544,Laptop,Ubuntu
DEV01545,Laptop,macOS
DEV01546,Desktop,macOS
DEV01547,Desktop,Ubuntu
DEV01548,Laptop,Ubuntu
DEV01549,Laptop,Ubuntu
DEV01550,Desktop,Windows 11
DEV01551,Desktop,Ubuntu
DEV01552,Laptop,Ubuntu
DEV01553,Laptop,macOS
DEV01554,Laptop,Ubuntu
DEV01555,Laptop,Ubuntu
DEV01556,Desktop,Ubuntu
DEV01557,Laptop,Ubuntu
DEV01558,Desktop,macOS
DEV01559,Desktop,macOS
DEV01560,Desktop,Ubuntu
DEV01561,Laptop,macOS
DEV01562,Laptop,Windows 11
DEV01563,Laptop,Ubuntu
DEV01564,Desktop,Ubuntu
DEV01565,Laptop,Ubuntu
DEV01566,Laptop,macOS
DEV01567,Desktop,Windows 11
DEV01568,Desktop,Windows 11
DEV01569,Desktop,macOS
DEV01570,Desktop,macOS
DEV01571,Desktop,Windows 11
DEV01572,Laptop,Windows 11
DEV01573,Laptop,Windows 11
DEV01574,Desktop,Windows 11
DEV01575,Laptop,Windows 11
DEV01576,Laptop,Ubuntu
DEV01577,Desktop,Windows 11
DEV01578,Laptop,Ubuntu
DEV01579,Laptop,Ubuntu
DEV01580,Laptop,Ubuntu
DEV01581,Laptop,Windows 11
DEV01582,Desktop,Ubuntu
DEV01583,Desktop,Windows 11
DEV01584,Laptop,Windows 11
DEV01585,Desktop,Ubuntu
DEV01586,Laptop,Ubuntu
DEV01587,Laptop,Windows 11
DEV01588,Laptop,Ubuntu
DEV01589,Desktop,macOS
DEV01590,Desktop,Windows 11
DEV01591,Desktop,macOS
DEV01592,Laptop,macOS
DEV01593,Desktop,Ubuntu
DEV01594,Laptop,Windows 11
DEV01595,Laptop,Ubuntu
DEV01596,Laptop,Ubuntu
DEV01597,Laptop,macOS
DEV01598,Desktop,macOS
DEV01599,Desktop,Ubuntu
DEV01600,Desktop,macOS
DEV01601,Laptop,macOS
DEV01602,Laptop,Ubuntu
DEV01603,Desktop,Ubuntu
DEV01604,Desktop,Ubuntu
DEV01605,Laptop,Ubuntu
DEV01606,Laptop,Windows 11
DEV01607,Desktop,Ubuntu
DEV01608,Desktop,macOS
DEV01609,Laptop,macOS
DEV01610,Laptop,Ubuntu
DEV01611,Laptop,Windows 11
DEV01612,Laptop,Ubuntu
DEV01613,Desktop,macOS
DEV01614,Laptop,macOS
DEV01615,Laptop,Ubuntu
DEV01616,Desktop,macOS
DEV01617,Laptop,Ubuntu
DEV01618,Laptop,Windows 11
DEV01619,Desktop,Ubuntu
DEV01620,Desktop,Windows 11
DEV01621,Desktop,Windows 11
DEV01622,Laptop,Ubuntu
DEV01623,Laptop,Windows 11
DEV01624,Desktop,Ubuntu
DEV01625,Desktop,macOS
DEV01626,Desktop,Windows 11
DEV01627,Desktop,Windows 11
DEV01628,Laptop,Ubuntu
DEV01629,Laptop,macOS
DEV01630,Laptop,Ubuntu
DEV01631,Desktop,Ubuntu
DEV01632,Desktop,Windows 11
DEV01633,Laptop,macOS
DEV01634,Laptop,macOS
DEV01635,Desktop,Windows 11
DEV01636,Desktop,Ubuntu
DEV01637,Laptop,Windows 11
DEV01638,Laptop,macOS
DEV01639,Laptop,Windows 11
DEV01640,Desktop,Windows 11
DEV01641,Desktop,Windows 11
DEV01642,Laptop,macOS
DEV01643,Laptop,macOS
DEV01644,Desktop,Windows 11
DEV01645,Desktop,Ubuntu
DEV01646,Laptop,Windows 11
DEV01647,Laptop,macOS
DEV01648,Laptop,Ubuntu
DEV01649,Laptop,macOS
DEV01650,Laptop,Ubuntu
DEV01651,Desktop,Ubuntu
DEV01652,Laptop,macOS
DEV01653,Laptop,Windows 11
DEV01654,Desktop,Windows 11
DEV01655,Laptop,Ubuntu
DEV01656,Laptop,Windows 11
DEV01657,Laptop,Windows 11
DEV01658,Desktop,Windows 11
DEV01659,Laptop,Ubuntu
DEV01660,Laptop,macOS
DEV01661,Laptop,Windows 11
DEV01662,Laptop,macOS
DEV01663,Laptop,macOS
DEV01664,Laptop,Windows 11
DEV01665,Desktop,macOS
DEV01666,Laptop,Ubuntu
DEV01667,Desktop,macOS
DEV01668,Laptop,macOS
DEV01669,Laptop,macOS
DEV01670,Desktop,Ubuntu
